service id,hora,origen,tipo,hora,destino,tipo,demanda (pax)
0,316,Retiro,D,340,Tigre,A,1081
1,409,Tigre,D,433,Retiro,A,771
2,539,Retiro,D,563,Tigre,A,733
3,657,Tigre,D,681,Retiro,A,878
4,781,Retiro,D,805,Tigre,A,1098
5,929,Tigre,D,953,Retiro,A,1041
6,1031,Retiro,D,1055,Tigre,A,1234
7,1132,Tigre,D,1156,Retiro,A,958
8,1287,Retiro,D,1311,Tigre,A,851
9,1361,Tigre,D,1385,Retiro,A,961
10,1529,Retiro,D,1553,Tigre,A,1313
11,1635,Tigre,D,1659,Retiro,A,936
12,1726,Retiro,D,1750,Tigre,A,1091
13,1864,Tigre,D,1888,Retiro,A,1373
14,1962,Retiro,D,1986,Tigre,A,699
15,2113,Tigre,D,2137,Retiro,A,1153
16,2240,Retiro,D,2264,Tigre,A,1075
17,2335,Tigre,D,2359,Retiro,A,1001
18,2441,Retiro,D,2465,Tigre,A,1005
19,2573,Tigre,D,2597,Retiro,A,832
20,2677,Retiro,D,2701,Tigre,A,1221
21,2815,Tigre,D,2839,Retiro,A,1020
22,2968,Retiro,D,2992,Tigre,A,899
23,3083,Tigre,D,3107,Retiro,A,1092
24,3184,Retiro,D,3208,Tigre,A,1147
25,3275,Tigre,D,3299,Retiro,A,972
26,3439,Retiro,D,3463,Tigre,A,1244
27,3530,Tigre,D,3554,Retiro,A,1049
28,3659,Retiro,D,3683,Tigre,A,1206
29,3767,Tigre,D,3791,Retiro,A,772
30,3926,Retiro,D,3950,Tigre,A,876
31,4040,Tigre,D,4064,Retiro,A,673
32,4150,Retiro,D,4174,Tigre,A,768
33,4243,Tigre,D,4267,Retiro,A,800
34,4390,Retiro,D,4414,Tigre,A,979
35,4483,Tigre,D,4507,Retiro,A,968
36,4631,Retiro,D,4655,Tigre,A,788
37,4762,Tigre,D,4786,Retiro,A,1377
38,4865,Retiro,D,4889,Tigre,A,1119
39,4970,Tigre,D,4994,Retiro,A,1050
40,5103,Retiro,D,5127,Tigre,A,904
41,5213,Tigre,D,5237,Retiro,A,879
42,5345,Retiro,D,5369,Tigre,A,952
43,5455,Tigre,D,5479,Retiro,A,996
44,5606,Retiro,D,5630,Tigre,A,906
45,5677,Tigre,D,5701,Retiro,A,1246
46,5819,Retiro,D,5843,Tigre,A,940
47,5930,Tigre,D,5954,Retiro,A,973
48,6075,Retiro,D,6099,Tigre,A,1167
49,6171,Tigre,D,6195,Retiro,A,1334
50,6296,Retiro,D,6320,Tigre,A,920
51,6408,Tigre,D,6432,Retiro,A,1128
52,6564,Retiro,D,6588,Tigre,A,582
53,6676,Tigre,D,6700,Retiro,A,888
54,6788,Retiro,D,6812,Tigre,A,1121
55,6917,Tigre,D,6941,Retiro,A,772
56,7019,Retiro,D,7043,Tigre,A,949
57,7156,Tigre,D,7180,Retiro,A,1309
58,7272,Retiro,D,7296,Tigre,A,1021
59,7377,Tigre,D,7401,Retiro,A,711
60,7524,Retiro,D,7548,Tigre,A,1105
61,7605,Tigre,D,7629,Retiro,A,1115
62,7710,Retiro,D,7734,Tigre,A,1037
63,7850,Tigre,D,7874,Retiro,A,1100
64,7987,Retiro,D,8011,Tigre,A,871
65,8071,Tigre,D,8095,Retiro,A,1153
66,8219,Retiro,D,8243,Tigre,A,872
67,8323,Tigre,D,8347,Retiro,A,901
68,8460,Retiro,D,8484,Tigre,A,693
69,8555,Tigre,D,8579,Retiro,A,930
70,8672,Retiro,D,8696,Tigre,A,860
